TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.3, 32) AVG: 0.7610203187126265 VAR: 0.00015109556115750224 F1: 0.7598068698931286 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.3, 32) AVG: 0.7564063429448045 VAR: 0.00024294042712617368 F1: 0.7551197613280457 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.3, 32) AVG: 0.7583943833943834 VAR: 0.0002777060805324452 F1: 0.7574084167443252 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.5, 32) AVG: 0.761681694374002 VAR: 0.0002570057339006337 F1: 0.7603262718961923 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.5, 32) AVG: 0.7557410538179768 VAR: 0.0005527066982623261 F1: 0.7546068307172309 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.5, 32) AVG: 0.7544300428915814 VAR: 0.0004510447508715954 F1: 0.7531102554768268 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 128, 0.7, 32) AVG: 0.7577369211984597 VAR: 0.00032193684116219165 F1: 0.7566751518285839 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 256, 0.7, 32) AVG: 0.7537686672302057 VAR: 0.00025829368195581857 F1: 0.7525768274528603 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0001, 512, 0.7, 32) AVG: 0.7610398860398858 VAR: 0.0005467844283641681 F1: 0.7592601392138073 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.3, 32) AVG: 0.7537647537647538 VAR: 0.0001750066806914409 F1: 0.7514970024469907 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.3, 32) AVG: 0.7544143890297736 VAR: 0.000398855624189954 F1: 0.7525666894988403 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.3, 32) AVG: 0.7524498293729063 VAR: 0.00013223276427308848 F1: 0.7492740257324475 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.5, 32) AVG: 0.7557488807488807 VAR: 0.00012060668065850694 F1: 0.754083480145963 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.5, 32) AVG: 0.7662800162800164 VAR: 0.00020942850759182816 F1: 0.7648979092595796 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.5, 32) AVG: 0.7524576563038102 VAR: 0.0002915112124881097 F1: 0.7510525475457199 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 128, 0.7, 32) AVG: 0.7557606211452366 VAR: 0.00020017643496509542 F1: 0.754331618194255 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 256, 0.7, 32) AVG: 0.7537686672302055 VAR: 0.0003283192412849736 F1: 0.7514339688786345 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.0005, 512, 0.7, 32) AVG: 0.7583865564634795 VAR: 0.0002348582222713137 F1: 0.7568581302165996 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.3, 32) AVG: 0.753103378103378 VAR: 0.0004795209368605505 F1: 0.751453552483099 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.3, 32) AVG: 0.7451786105632259 VAR: 0.0007283741690839634 F1: 0.7416745371518996 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.3, 32) AVG: 0.7577173538712 VAR: 0.00034692238406779384 F1: 0.7552754222734376 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 128, 0.5, 32) AVG: 0.7616582135812905 VAR: 0.0002920091406555634 F1: 0.759780286711744 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 256, 0.5, 32) AVG: 0.7544339563570334 VAR: 0.00037130518149608574 F1: 0.753289822002028 SEED: 6399
TrainShape:(1182, 869) #EPOCH: ([], 200, bert, 0.001, 512, 0.5, 32) AVG: 0.7557214864907174 VAR: 0.00041626500747042643 F1: 0.7536402859239123 SEED: 6399
